IsDangerous,Contents,,
1,Ácido sulfúrico,,
1,Cuchillo,,
0,Cuaderno,,
1,Granada,,
1,Explosivos,,
1,Uranio enriquecido,,
1,Pólvora,,
1,Armas de fuego simuladas,,
0,Papel higiénico,,
1,Cianuro,,
1,Pistola,,
0,Plátanos,,
1,Drogas ilícitas,,
1,Gasolina,,
0,Calculadora,,
1,Baterías de litio,,
1,Veneno para ratas,,
1,Navaja suiza,,
0,Cuaderno,,
1,Ácido clorhídrico,,
1,Sustancias radiactivas,,
1,Plutonio,,
0,Silla de oficina,,
1,Cuchillo de caza,,
1,Opioides,,
1,Antrax,,
0,Juego de cartas,,
1,Armas de fuego,,
1,Sustancias corrosivas,,
1,Botiquín de primeros auxilios,,
0,Libro de cocina,,
1,C4,,
1,Ácido sulfúrico,,
1,Cuchillo,,
0,Cuaderno,,
1,Granada,,
1,Explosivos,,
1,Uranio enriquecido,,
1,Pólvora,,
1,Armas de fuego simuladas,,
0,Papel higiénico,,
1,Cianuro,,
1,Pistola,,
0,Plátanos,,
1,Drogas ilícitas,,
1,Gasolina,,
0,Calculadora,,
1,Baterías de litio,,
1,Veneno para ratas,,
1,Navaja suiza,,
0,Cuaderno,,
1,Ácido clorhídrico,,
1,Sustancias radiactivas,,
1,Plutonio,,
0,Silla de oficina,,
1,Cuchillo de caza,,
1,Opioides,,
1,Antrax,,
0,Juego de cartas,,
1,Armas de fuego,,
1,Sustancias corrosivas,,
1,Botiquín de primeros auxilios,,
0,Libro de cocina,,
1,C4,,
1,Cloruro de mercurio,,
1,Cuchillo de cocina,,
1,Gases tóxicos,,
1,Pesticidas,,
1,Productos químicos,,
1,Ollas a presión,,
0,Reloj de pulsera,,
1,TNT,,
0,Platos de papel,,
1,Bombas,,
1,Ácido clorhídrico,,
1,Anfo,,
0,Gorra de béisbol,,
1,Arsénico,,
1,Cerillas,,
1,Arma de fuego,,
1,Nitrato de amonio,,
1,DDT,,
0,Agua embotellada,,
1,Ácido sulfúrico,,
1,Sustancias explosivas,,
0,Agenda,,
1,Fósforo blanco,,
1,Vx,,
0,Carpeta,,
1,Polonio,,
1,Cilindros de gas,,
1,Gases asfixiantes,,
1,Ácido fluorhídrico,,
1,Armas químicas,,
0,Bolígrafo,,
1,Gas nervioso,,
1,Productos inflamables,,
1,Nitrato de plata,,
1,Armas biológicas,,
1,Napalm,,
0,Pila,,
1,Ántrax,,
1,Dispositivos explosivos improvisados,,
0,Lápiz,,
1,Cloruro de sodio,,
1,Ácido cianhídrico,,
0,Revista,,
1,Sustancias radiactivas,,
0,Pelota de fútbol,,
1,Agentes químicos de guerra,,
1,Arma de destrucción masiva,,
0,CD,,
1,Ácido perclórico,,
1,Sustancias inflamables,,
1,Toxinas,,
1,Monóxido de carbono,,
1,Gas mostaza,,
1,Carga hueca,,
1,Ácido nítrico,,
0,Llavero,,
1,Cianuro de potasio,,
1,Lanza cohetes,,
1,Gas de cloro,,
1,Sustancias venenosas,,
1,Bombas incendiarias,,
1,Sustancias químicas peligrosas,,
1,Veneno,,
1,Ácido fluorhídrico,,
1,Agentes neurotóxicos,,
0,Flores,,
1,Gas sarín,,
0,Papel,,
1,Sustancias corrosivas,,
1,Material radioactivo,,
1,Cilindros de gas,,
1,Bombas de racimo,,
1,Explosivos,,
1,Armas de destrucción masiva,,
1,Napalm,,
1,Armas biológicas,,
1,Ácido nítrico,,
1,Cartuchos de munición de calibre .22,,
1,Latas de aerosol inflamable,,
1,Baterías de litio recargables,,
1,Pintura en aerosol con contenido de gas butano,,
1,Botellas de gas propano para camping,,
1,Cajas de fuegos artificiales,,
1,Botellas de ácido clorhídrico,,
1,Cilindros de gas comprimido para soldadura,,
1,Tambores de desechos químicos,,
1,Paquetes de fuegos artificiales,,
1,Tanques de oxígeno médico,,
1,Líquidos inflamables para encendedores,,
1,Cajas de cohetes pirotécnicos,,
1,Envases de queroseno para lámparas,,
1,Botellas de ácido sulfúrico,,
1,Latas de pintura a base de aceite,,
1,Botellas de gasolina para cortadoras de césped,,
1,Latas de removedor de pintura,,
1,Contenedores de ácido nítrico,,
1,Bolsas de fertilizante explosivo,,
1,Botes de disolvente para limpieza de pinturas,,
1,Paquetes de cerillas de fósforo,,
1,Tambores de ácido fluorhídrico,,
1,Botes de insecticida en aerosol,,
1,Latas de combustible para antorchas,,
1,Cajas de bengalas de señalización,,
1,Bidones de líquido inflamable,,
1,Bolsas de polvo de aluminio,,
1,Cajas de baterías de litio,,
1,Tambores de ácido sulfúrico,,
1,Envases de pegamento para modelismo,,
1,Frascos de ácido clorhídrico,,
1,Botellas de gas butano para estufas,,
1,Latas de pintura en aerosol,,
1,Baterías de plomo-ácido recargables,,
1,Bombonas de propano para barbacoas,,
1,Contenedores de ácido fosfórico,,
1,Bolsas de nitrato de amonio,,
1,Cajas de petardos de pólvora,,
1,Tambores de cloruro de metileno,,
1,Botellas de gas natural licuado,,
1,Botes de limpiador de desagües,,
1,Cilindros de acetileno para soldadura,,
1,Bolsas de cianuro de sodio,,
