IsDangerous,Contents
1,Sulfuric acid
1,Knife
0,Notebook
1,Grenade
1,Explosives
1,Enriched uranium
1,Gunpowder
1,Simulated firearms
0,Toilet paper
1,Cyanide
1,Gun
0,Bananas
1,Illicit drugs
1,Gasoline
0,Calculator
1,lithium batteries
1,rat poison
1,Swiss knife
0,Notebook
1,Hydrochloric acid
1,radioactive substances
1,Plutonium
0,Office chair
1,Hunting knife
1,Opioids
1,Anthrax
0,Card game
1,Firearms
1,Corrosive substances
1,First aid kit
0,Cook Book
1,C4
1,Sulfuric acid
1,Knife
0,Notebook
1,Grenade
1,Explosives
1,Enriched uranium
1,Gunpowder
1,Simulated firearms
0,Toilet paper
1,Cyanide
1,Gun
0,Bananas
1,Illicit drugs
1,Gasoline
0,Calculator
1,lithium batteries
1,rat poison
1,Swiss knife
0,Notebook
1,Hydrochloric acid
1,radioactive substances
1,Plutonium
0,Office chair
1,Hunting knife
1,Opioids
1,Anthrax
0,Card game
1,Firearms
1,Corrosive substances
1,First aid kit
0,Cook Book
1,C4
1,Mercury chloride
1,Kitchen knife
1,Toxic gases
1,Pesticides
1,Chemical products
1,pressure cookers
0,Wristwatch
1,TNT
0,paper plates
1,Bombs
1,Hydrochloric acid
1,Anfo
0,Baseball cap
1,Arsenic
1,Matches
1,Firearm
1,Ammonium nitrate
1,DDT
0,Bottled water
1,Sulfuric acid
1,Explosive substances
0,Diary
1,white phosphorus
1,Vx
0,File
1,Polonium
1,Gas cylinders
1,asphyxiating gases
1,Hydrofluoric acid
1,Chemical weapons
0,Pen
1,Nerve gas
1,Flammable products
1,Silver nitrate
1,Biological weapons
1,Napalm
0,Stack
1,Anthrax
1,improvised explosive devices
0,Pencil
1,Sodium chloride
1,Hydrocyanic acid
0,Magazine
1,radioactive substances
0,Soccer ball
1,chemical warfare agents
1,Weapon of mass destruction
0,CD
1,Perchloric acid
1,Flammable substances
1,Toxins
1,Carbon monoxide
1,Mustard gas
1,shaped charge
1,Nitric acid
0,Key ring
1,potassium cyanide
1,Launch rockets
1,Chlorine gas
1,poisonous substances
1,incendiary bombs
1,Hazardous chemicals
1,Poison
1,Hydrofluoric acid
1,Neurotoxic agents
0,Flowers
1,Sarin gas
0,Paper
1,Corrosive substances
1,Radioactive material
1,Gas cylinders
1,cluster bombs
1,Explosives
1,Massive destruction weapons
1,Napalm
1,Biological weapons
1,Nitric acid
1,.22 caliber ammunition cartridges
1,Flammable aerosol cans
1,Rechargeable lithium batteries
1,Spray paint containing butane gas
1,Propane gas bottles for camping
1,Fireworks boxes
1,Hydrochloric acid bottles
1,Compressed gas cylinders for welding
1,Chemical waste drums
1,Fireworks Packages
1,medical oxygen tanks
1,Flammable lighter fluids
1,Pyrotechnic rocket boxes
1,Kerosene containers for lamps
1,Sulfuric acid bottles
1,Oil-based paint cans
1,Gasoline bottles for lawnmowers
1,Paint remover cans
1,Nitric acid containers
1,Explosive fertilizer bags
1,Paint cleaning solvent bottles
1,Matchstick packets
1,Hydrofluoric acid drums
1,Insecticide spray cans
1,Torch Fuel Cans
1,Signaling flare boxes
1,Flammable liquid drums
1,Aluminum powder bags
1,Lithium battery boxes
1,Sulfuric acid drums
1,Modeling glue containers
1,Hydrochloric acid bottles
1,Butane gas bottles for stoves
1,Spray paint cans
1,Rechargeable lead-acid batteries
